Head east, continue for 92.9 meters and taking about 66.9 seconds.
Keep right, continue for 153.8 meters and taking about 110.8 seconds.
Turn left, continue for 170.5 meters and taking about 122.8 seconds.
Turn right, continue for 51.9 meters and taking about 37.4 seconds.
Keep left, continue for 21.5 meters and taking about 15.5 seconds.
Turn left, continue for 22.9 meters and taking about 16.5 seconds.
Turn right, continue for 139.9 meters and taking about 100.7 seconds.
Turn left, continue for 235.3 meters and taking about 169.4 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Turn left onto Osler Street on Osler Street, continue for 436.4 meters and taking about 314.2 seconds.
Turn left, continue for 8.9 meters and taking about 6.4 seconds.
Turn right, continue for 12.3 meters and taking about 8.8 seconds.
Turn right, continue for 17.6 meters and taking about 12.7 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Keep left, continue for 8.7 meters and taking about 6.3 seconds.
Turn right onto Osler Street on Osler Street, continue for 297.7 meters and taking about 214.4 seconds.
Turn right, continue for 57.4 meters and taking about 41.4 seconds.
Turn left, continue for 81.0 meters and taking about 58.3 seconds.
Turn right, continue for 34.4 meters and taking about 24.7 seconds.
Turn left, continue for 27.3 meters and taking about 19.7 seconds.
Turn right, continue for 3.4 meters and taking about 2.5 seconds.
Turn left, continue for 34.0 meters and taking about 24.5 seconds.
Turn right, continue for 4.9 meters and taking about 3.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
