Name: Arthur Goss Lane, Instruction: Head south on Arthur Goss Lane, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 61.2 meters, Time: 44.0 seconds
Name: Broadcast Lane, Instruction: Turn left onto Broadcast Lane, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 275.9 meters, Time: 198.6 seconds
Name: -, Instruction: Keep right, Distance: 876.7 meters, Time: 631.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
