Name: Withrow Avenue, Instruction: Head east on Withrow Avenue, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Keep left, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Keep left, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Frizzell Avenue, Instruction: Turn right onto Frizzell Avenue, Distance: 166.0 meters, Time: 119.5 seconds
Name: Eastview Path, Instruction: Turn left onto Eastview Path, Distance: 172.2 meters, Time: 124.0 seconds
Name: Strathcona Avenue, Instruction: Turn right onto Strathcona Avenue, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 179.5 meters, Time: 129.2 seconds
Name: -, Instruction: Keep right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 255.0 meters, Time: 183.6 seconds
Name: -, Instruction: Keep left, Distance: 43.3 meters, Time: 31.2 seconds
Name: Ben Kerr Lane, Instruction: Turn right onto Ben Kerr Lane, Distance: 192.3 meters, Time: 138.5 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 189.7 meters, Time: 136.6 seconds
Name: -, Instruction: Keep left, Distance: 269.1 meters, Time: 193.8 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
