Head east on Withrow Avenue on Withrow Avenue, continue for 9.4 meters and taking about 6.8 seconds.
Turn left, continue for 93.2 meters and taking about 67.1 seconds.
Keep left, continue for 81.0 meters and taking about 58.3 seconds.
Keep left, continue for 85.9 meters and taking about 61.8 seconds.
Turn right, continue for 30.3 meters and taking about 21.8 seconds.
Turn left, continue for 4.9 meters and taking about 3.5 seconds.
Turn right onto Frizzell Avenue on Frizzell Avenue, continue for 166.0 meters and taking about 119.5 seconds.
Turn left onto Eastview Path on Eastview Path, continue for 172.2 meters and taking about 124.0 seconds.
Turn right onto Strathcona Avenue on Strathcona Avenue, continue for 3.5 meters and taking about 2.5 seconds.
Turn left, continue for 4.8 meters and taking about 3.5 seconds.
Turn right, continue for 179.5 meters and taking about 129.2 seconds.
Keep right, continue for 17.5 meters and taking about 12.6 seconds.
Turn left, continue for 255.0 meters and taking about 183.6 seconds.
Keep left, continue for 43.3 meters and taking about 31.2 seconds.
Turn right onto Ben Kerr Lane on Ben Kerr Lane, continue for 192.3 meters and taking about 138.5 seconds.
Turn left, continue for 33.6 meters and taking about 24.2 seconds.
Turn right, continue for 189.7 meters and taking about 136.6 seconds.
Keep left, continue for 269.1 meters and taking about 193.8 seconds.
Turn left, continue for 12.0 meters and taking about 8.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
