Name: Strange Street, Instruction: Head south on Strange Street, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: Woodgreen Place, Instruction: Turn sharp right onto Woodgreen Place, Distance: 277.3 meters, Time: 199.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn left, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Keep right, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn left, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 348.3 meters, Time: 250.7 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 85.9 meters, Time: 61.8 seconds
Name: Jack Layton Way, Instruction: Turn left onto Jack Layton Way, Distance: 52.3 meters, Time: 37.7 seconds
Name: Blue Rodeo Drive, Instruction: Turn right onto Blue Rodeo Drive, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
