Name: Peggy Ann Smith Lane, Instruction: Head south on Peggy Ann Smith Lane, Distance: 123.2 meters, Time: 88.7 seconds
Name: Kintyre Avenue, Instruction: Turn left onto Kintyre Avenue, Distance: 22.9 meters, Time: 16.5 seconds
Name: Hamilton Street, Instruction: Turn right onto Hamilton Street, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.9 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Thompson Street, Instruction: Turn left onto Thompson Street, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.7 seconds
Name: -, Instruction: Turn left, Distance: 263.7 meters, Time: 189.9 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 191.8 meters, Time: 138.1 seconds
Name: -, Instruction: Turn right, Distance: 41.9 meters, Time: 30.2 seconds
Name: Graham Place, Instruction: Turn left onto Graham Place, Distance: 271.7 meters, Time: 195.6 seconds
Name: Morse Street, Instruction: Turn right onto Morse Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Turn right, Distance: 152.4 meters, Time: 109.7 seconds
Name: -, Instruction: Turn left, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
