Head south on Peggy Ann Smith Lane on Peggy Ann Smith Lane, continue for 123.2 meters and taking about 88.7 seconds.
Turn left onto Kintyre Avenue on Kintyre Avenue, continue for 22.9 meters and taking about 16.5 seconds.
Turn right onto Hamilton Street on Hamilton Street, continue for 32.8 meters and taking about 23.6 seconds.
Turn left, continue for 4.0 meters and taking about 2.9 seconds.
Turn right, continue for 63.7 meters and taking about 45.9 seconds.
Turn left, continue for 34.3 meters and taking about 24.7 seconds.
Turn right, continue for 5.1 meters and taking about 3.7 seconds.
Turn left onto Thompson Street on Thompson Street, continue for 43.3 meters and taking about 31.2 seconds.
Turn right, continue for 73.1 meters and taking about 52.7 seconds.
Turn left, continue for 263.7 meters and taking about 189.9 seconds.
Turn right, continue for 16.8 meters and taking about 12.1 seconds.
Turn left, continue for 191.8 meters and taking about 138.1 seconds.
Turn right, continue for 41.9 meters and taking about 30.2 seconds.
Turn left onto Graham Place on Graham Place, continue for 271.7 meters and taking about 195.6 seconds.
Turn right onto Morse Street on Morse Street, continue for 6.1 meters and taking about 4.4 seconds.
Turn left, continue for 4.4 meters and taking about 3.1 seconds.
Turn right, continue for 21.5 meters and taking about 15.5 seconds.
Turn left, continue for 37.2 meters and taking about 26.8 seconds.
Turn right, continue for 112.5 meters and taking about 81.0 seconds.
Turn right, continue for 152.4 meters and taking about 109.7 seconds.
Turn left, continue for 59.7 meters and taking about 43.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
