Name: Airley Crescent, Instruction: Head north on Airley Crescent, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 346.8 meters, Time: 249.7 seconds
Name: -, Instruction: Keep left, Distance: 191.4 meters, Time: 137.8 seconds
Name: -, Instruction: Turn left, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 259.0 meters, Time: 186.5 seconds
Name: -, Instruction: Keep right, Distance: 175.9 meters, Time: 126.6 seconds
Name: -, Instruction: Keep right, Distance: 7.0 meters, Time: 5.1 seconds
Name: Rivercourt Boulevard, Instruction: Turn left onto Rivercourt Boulevard, Distance: 96.2 meters, Time: 69.3 seconds
Name: Woodville Avenue, Instruction: Turn right onto Woodville Avenue, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 98.5 meters, Time: 70.9 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 110.1 meters, Time: 79.3 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: Gamble Avenue, Instruction: Turn right onto Gamble Avenue, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at Gamble Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
