Head north on Airley Crescent on Airley Crescent, continue for 7.7 meters and taking about 5.6 seconds.
Turn left, continue for 346.8 meters and taking about 249.7 seconds.
Keep left, continue for 191.4 meters and taking about 137.8 seconds.
Turn left, continue for 40.3 meters and taking about 29.0 seconds.
Turn right, continue for 259.0 meters and taking about 186.5 seconds.
Keep right, continue for 175.9 meters and taking about 126.6 seconds.
Keep right, continue for 7.0 meters and taking about 5.1 seconds.
Turn left onto Rivercourt Boulevard on Rivercourt Boulevard, continue for 96.2 meters and taking about 69.3 seconds.
Turn right onto Woodville Avenue on Woodville Avenue, continue for 102.1 meters and taking about 73.5 seconds.
Turn left, continue for 3.8 meters and taking about 2.7 seconds.
Turn right, continue for 55.1 meters and taking about 39.7 seconds.
Turn left, continue for 98.5 meters and taking about 70.9 seconds.
Turn right, continue for 18.7 meters and taking about 13.5 seconds.
Turn left, continue for 110.1 meters and taking about 79.3 seconds.
Turn right, continue for 37.9 meters and taking about 27.3 seconds.
Turn left, continue for 9.1 meters and taking about 6.6 seconds.
Turn right onto Gamble Avenue on Gamble Avenue, continue for 22.6 meters and taking about 16.3 seconds.
Arrive at Gamble Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
