Name: Allen Pathway, Instruction: Head south on Allen Pathway, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 888.4 meters, Time: 639.6 seconds
Name: -, Instruction: Keep right, Distance: 6.9 meters, Time: 5.0 seconds
Name: Tommy Douglas Gardens, Instruction: Turn left onto Tommy Douglas Gardens, Distance: 30.5 meters, Time: 21.9 seconds
Name: Tommy Douglas Gardens, Instruction: Turn right onto Tommy Douglas Gardens, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.6 seconds
Name: West Belt Line Trail, Instruction: Turn right onto West Belt Line Trail, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.3 seconds
Name: Hopewell Avenue, Instruction: Turn right onto Hopewell Avenue, Distance: 222.0 meters, Time: 159.9 seconds
Name: -, Instruction: Turn left, Distance: 80.7 meters, Time: 58.1 seconds
Name: Whitmore Avenue, Instruction: Turn right onto Whitmore Avenue, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 197.7 meters, Time: 142.3 seconds
Name: -, Instruction: Keep left, Distance: 67.7 meters, Time: 48.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 157.3 meters, Time: 113.3 seconds
Name: Kirknewton Road, Instruction: Turn right onto Kirknewton Road, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at Kirknewton Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
