Name: Alberta Circle, Instruction: Head south on Alberta Circle, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 126.0 meters, Time: 90.7 seconds
Name: -, Instruction: Keep left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 703.5 meters, Time: 506.5 seconds
Name: -, Instruction: Keep left, Distance: 576.7 meters, Time: 415.2 seconds
Name: -, Instruction: Turn slight left, Distance: 88.8 meters, Time: 63.9 seconds
Name: Alma Avenue, Instruction: Turn left onto Alma Avenue, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 147.2 meters, Time: 106.0 seconds
Name: -, Instruction: Turn slight left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
