Name: Erie Street, Instruction: Head north on Erie Street, Distance: 159.0 meters, Time: 114.5 seconds
Name: Falstaff Avenue, Instruction: Turn right onto Falstaff Avenue, Distance: 82.9 meters, Time: 59.7 seconds
Name: Falstaff Avenue, Instruction: Keep left onto Falstaff Avenue, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 351.9 meters, Time: 253.4 seconds
Name: -, Instruction: Turn right, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Turn left, Distance: 508.7 meters, Time: 366.3 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Sir William Hearst Avenue, Instruction: Turn left onto Sir William Hearst Avenue, Distance: 106.2 meters, Time: 76.5 seconds
Name: Sir William Hearst Avenue, Instruction: Turn slight left onto Sir William Hearst Avenue, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
