Name: Ruskin Avenue, Instruction: Head east on Ruskin Avenue, Distance: 140.9 meters, Time: 101.5 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 193.9 meters, Time: 139.6 seconds
Name: -, Instruction: Turn right, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 360.3 meters, Time: 259.4 seconds
Name: -, Instruction: Turn left, Distance: 222.7 meters, Time: 160.3 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: Brandon Avenue, Instruction: Turn right onto Brandon Avenue, Distance: 363.4 meters, Time: 261.6 seconds
Name: -, Instruction: Arrive at Brandon Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
