Head east on Ruskin Avenue on Ruskin Avenue, continue for 140.9 meters and taking about 101.5 seconds.
Turn left, continue for 6.6 meters and taking about 4.8 seconds.
Turn right, continue for 9.5 meters and taking about 6.8 seconds.
Turn left, continue for 102.6 meters and taking about 73.9 seconds.
Turn right, continue for 43.2 meters and taking about 31.1 seconds.
Turn left, continue for 8.9 meters and taking about 6.4 seconds.
Turn right, continue for 42.4 meters and taking about 30.5 seconds.
Keep right, continue for 14.2 meters and taking about 10.3 seconds.
Turn left, continue for 193.9 meters and taking about 139.6 seconds.
Turn right, continue for 40.6 meters and taking about 29.2 seconds.
Turn left, continue for 15.1 meters and taking about 10.9 seconds.
Turn right, continue for 360.3 meters and taking about 259.4 seconds.
Turn left, continue for 222.7 meters and taking about 160.3 seconds.
Turn right, continue for 13.3 meters and taking about 9.6 seconds.
Turn left, continue for 7.9 meters and taking about 5.7 seconds.
Turn right onto Brandon Avenue on Brandon Avenue, continue for 363.4 meters and taking about 261.6 seconds.
Arrive at Brandon Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
