Name: PATH, Instruction: Head east on PATH, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 97.3 meters, Time: 70.0 seconds
Name: -, Instruction: Turn left, Distance: 164.8 meters, Time: 118.7 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 536.1 meters, Time: 386.0 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
