Name: Neepawa Avenue, Instruction: Head west on Neepawa Avenue, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 177.2 meters, Time: 127.6 seconds
Name: -, Instruction: Turn left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn slight left, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn slight left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Constance Street, Instruction: Turn right onto Constance Street, Distance: 150.9 meters, Time: 108.7 seconds
Name: Indian Road, Instruction: Turn left onto Indian Road, Distance: 88.8 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Keep left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Grenadier Road, Instruction: Turn right onto Grenadier Road, Distance: 236.0 meters, Time: 170.0 seconds
Name: -, Instruction: Arrive at Grenadier Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
