Head west on Neepawa Avenue on Neepawa Avenue, continue for 6.5 meters and taking about 4.7 seconds.
Turn left, continue for 4.3 meters and taking about 3.1 seconds.
Turn right, continue for 84.4 meters and taking about 60.8 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Turn sharp right, continue for 19.2 meters and taking about 13.8 seconds.
Turn right, continue for 4.0 meters and taking about 2.9 seconds.
Turn left, continue for 177.2 meters and taking about 127.6 seconds.
Turn left, continue for 1.2 meters and taking about 0.9 seconds.
Turn slight left, continue for 70.6 meters and taking about 50.8 seconds.
Turn right, continue for 8.9 meters and taking about 6.4 seconds.
Turn slight left, continue for 1.8 meters and taking about 1.3 seconds.
Keep left, continue for 4.7 meters and taking about 3.4 seconds.
Turn right onto Constance Street on Constance Street, continue for 150.9 meters and taking about 108.7 seconds.
Turn left onto Indian Road on Indian Road, continue for 88.8 meters and taking about 64.0 seconds.
Turn right, continue for 4.9 meters and taking about 3.5 seconds.
Turn slight left, continue for 1.7 meters and taking about 1.2 seconds.
Keep left, continue for 4.7 meters and taking about 3.4 seconds.
Turn right onto Grenadier Road on Grenadier Road, continue for 236.0 meters and taking about 170.0 seconds.
Arrive at Grenadier Road, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
