Name: Cottonwood Drive, Instruction: Head southwest on Cottonwood Drive, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 228.3 meters, Time: 164.4 seconds
Name: -, Instruction: Turn left, Distance: 427.1 meters, Time: 307.5 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 494.3 meters, Time: 355.9 seconds
Name: -, Instruction: Keep right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Keep left, Distance: 139.1 meters, Time: 100.1 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 126.0 meters, Time: 90.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
