Head southwest on Cottonwood Drive on Cottonwood Drive, continue for 52.7 meters and taking about 37.9 seconds.
Turn left, continue for 228.3 meters and taking about 164.4 seconds.
Turn left, continue for 427.1 meters and taking about 307.5 seconds.
Turn right, continue for 22.7 meters and taking about 16.3 seconds.
Turn left, continue for 31.9 meters and taking about 23.0 seconds.
Turn right, continue for 494.3 meters and taking about 355.9 seconds.
Keep right, continue for 32.1 meters and taking about 23.1 seconds.
Turn right, continue for 109.0 meters and taking about 78.5 seconds.
Keep left, continue for 139.1 meters and taking about 100.1 seconds.
Turn left, continue for 8.8 meters and taking about 6.4 seconds.
Turn right, continue for 126.0 meters and taking about 90.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
