Name: Front Street East, Instruction: Head east on Front Street East, Distance: 74.0 meters, Time: 53.3 seconds
Name: Tannery Road, Instruction: Turn left onto Tannery Road, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn right, Distance: 139.8 meters, Time: 100.6 seconds
Name: -, Instruction: Turn right, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 216.5 meters, Time: 155.9 seconds
Name: -, Instruction: Turn right, Distance: 260.6 meters, Time: 187.7 seconds
Name: East Don Roadway, Instruction: Turn left onto East Don Roadway, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn left, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 75.5 meters, Time: 54.3 seconds
Name: Hamilton Street, Instruction: Turn left onto Hamilton Street, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at Hamilton Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
