Head east on Front Street East on Front Street East, continue for 74.0 meters and taking about 53.3 seconds.
Turn left onto Tannery Road on Tannery Road, continue for 6.6 meters and taking about 4.7 seconds.
Turn right, continue for 6.3 meters and taking about 4.6 seconds.
Turn left, continue for 54.7 meters and taking about 39.4 seconds.
Turn right, continue for 139.8 meters and taking about 100.6 seconds.
Turn right, continue for 55.6 meters and taking about 40.0 seconds.
Turn left, continue for 216.5 meters and taking about 155.9 seconds.
Turn right, continue for 260.6 meters and taking about 187.7 seconds.
Turn left onto East Don Roadway on East Don Roadway, continue for 16.5 meters and taking about 11.9 seconds.
Turn right, continue for 86.8 meters and taking about 62.5 seconds.
Turn left, continue for 34.0 meters and taking about 24.5 seconds.
Turn right, continue for 44.0 meters and taking about 31.7 seconds.
Turn right, continue for 75.5 meters and taking about 54.3 seconds.
Turn left onto Hamilton Street on Hamilton Street, continue for 23.9 meters and taking about 17.2 seconds.
Arrive at Hamilton Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
