Name: Lonsmount Drive, Instruction: Head north on Lonsmount Drive, Distance: 54.7 meters, Time: 39.4 seconds
Name: Montclair Avenue, Instruction: Turn left onto Montclair Avenue, Distance: 142.0 meters, Time: 102.2 seconds
Name: -, Instruction: Turn right, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: Claxton Boulevard, Instruction: Turn left onto Claxton Boulevard, Distance: 110.8 meters, Time: 79.8 seconds
Name: -, Instruction: Keep right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Keep left, Distance: 12.9 meters, Time: 9.3 seconds
Name: Raglan Avenue, Instruction: Keep right onto Raglan Avenue, Distance: 116.5 meters, Time: 83.8 seconds
Name: Heathdale Road, Instruction: Turn slight left onto Heathdale Road, Distance: 576.4 meters, Time: 415.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 241.1 meters, Time: 173.6 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Continue straight, Distance: 213.8 meters, Time: 153.9 seconds
Name: Arlington Avenue, Instruction: Turn right onto Arlington Avenue, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
