Name: Cedarvale Avenue, Instruction: Head south on Cedarvale Avenue, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Barker Avenue, Instruction: Turn right onto Barker Avenue, Distance: 69.4 meters, Time: 50.0 seconds
Name: Coleridge Avenue, Instruction: Turn left onto Coleridge Avenue, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 161.9 meters, Time: 116.6 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 446.3 meters, Time: 321.3 seconds
Name: -, Instruction: Turn right, Distance: 550.3 meters, Time: 396.2 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
