Name: Northcliffe Boulevard, Instruction: Head south on Northcliffe Boulevard, Distance: 222.9 meters, Time: 160.5 seconds
Name: Amherst Avenue, Instruction: Turn right onto Amherst Avenue, Distance: 92.9 meters, Time: 66.9 seconds
Name: Westmount Avenue, Instruction: Turn left onto Westmount Avenue, Distance: 149.3 meters, Time: 107.5 seconds
Name: Martin Street, Instruction: Turn right onto Martin Street, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 144.3 meters, Time: 103.9 seconds
Name: -, Instruction: Keep left, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Keep left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Bloem Avenue, Instruction: Turn right onto Bloem Avenue, Distance: 76.3 meters, Time: 54.9 seconds
Name: Sellers Avenue, Instruction: Turn left onto Sellers Avenue, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight right, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn slight left, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Keep left, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 246.4 meters, Time: 177.4 seconds
Name: -, Instruction: Keep right, Distance: 141.2 meters, Time: 101.7 seconds
Name: -, Instruction: Turn left, Distance: 145.7 meters, Time: 104.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
