Name: Sighthill Avenue, Instruction: Head north on Sighthill Avenue, Distance: 100.5 meters, Time: 72.4 seconds
Name: Inglewood Drive, Instruction: Turn left onto Inglewood Drive, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 121.5 meters, Time: 87.5 seconds
Name: -, Instruction: Keep left, Distance: 216.2 meters, Time: 155.7 seconds
Name: -, Instruction: Keep left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 94.1 meters, Time: 67.7 seconds
Name: -, Instruction: Turn slight left, Distance: 365.4 meters, Time: 263.1 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Keep left, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn slight left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
