Name: Beech Avenue, Instruction: Head north on Beech Avenue, Distance: 65.6 meters, Time: 47.2 seconds
Name: Sycamore Place, Instruction: Turn left onto Sycamore Place, Distance: 93.0 meters, Time: 67.0 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 141.7 meters, Time: 102.0 seconds
Name: -, Instruction: Turn slight left, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Keep right, Distance: 211.7 meters, Time: 152.5 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: Pine Crescent, Instruction: Turn left onto Pine Crescent, Distance: 27.4 meters, Time: 19.7 seconds
Name: Pine Glen Road, Instruction: Turn sharp right onto Pine Glen Road, Distance: 123.7 meters, Time: 89.1 seconds
Name: Glen Manor Drive East, Instruction: Turn left onto Glen Manor Drive East, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn right, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Keep right, Distance: 310.3 meters, Time: 223.4 seconds
Name: -, Instruction: Keep right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: Lee Avenue, Instruction: Turn right onto Lee Avenue, Distance: 50.3 meters, Time: 36.2 seconds
Name: Norway Avenue, Instruction: Turn left onto Norway Avenue, Distance: 380.2 meters, Time: 273.8 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: Elmer Avenue, Instruction: Turn right onto Elmer Avenue, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Arrive at Elmer Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
