Name: Gledhill Avenue, Instruction: Head south on Gledhill Avenue, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 199.5 meters, Time: 143.6 seconds
Name: -, Instruction: Turn left, Distance: 65.9 meters, Time: 47.5 seconds
Name: Carruthers Lane, Instruction: Turn right onto Carruthers Lane, Distance: 4.4 meters, Time: 3.2 seconds
Name: Cedarvale Avenue, Instruction: Turn left onto Cedarvale Avenue, Distance: 110.8 meters, Time: 79.7 seconds
Name: -, Instruction: Turn right, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: Sammon Avenue, Instruction: Turn right onto Sammon Avenue, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn slight left, Distance: 67.7 meters, Time: 48.7 seconds
Name: -, Instruction: Turn right, Distance: 188.4 meters, Time: 135.7 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
