Name: Bay West Teamway, Instruction: Head north on Bay West Teamway, Distance: 159.3 meters, Time: 114.7 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 693.9 meters, Time: 499.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Keep right, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn slight left, Distance: 125.2 meters, Time: 90.1 seconds
Name: -, Instruction: Keep left, Distance: 286.8 meters, Time: 206.5 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 182.4 meters, Time: 131.3 seconds
Name: -, Instruction: Turn left, Distance: 103.5 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 121.8 meters, Time: 87.7 seconds
Name: -, Instruction: Turn left, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
