Head north on Bay West Teamway on Bay West Teamway, continue for 159.3 meters and taking about 114.7 seconds.
Turn right, continue for 2.5 meters and taking about 1.8 seconds.
Turn left, continue for 693.9 meters and taking about 499.6 seconds.
Turn sharp right, continue for 27.5 meters and taking about 19.8 seconds.
Turn left, continue for 18.0 meters and taking about 13.0 seconds.
Turn left, continue for 15.8 meters and taking about 11.4 seconds.
Keep right, continue for 37.3 meters and taking about 26.9 seconds.
Turn slight left, continue for 125.2 meters and taking about 90.1 seconds.
Keep left, continue for 286.8 meters and taking about 206.5 seconds.
Turn left, continue for 22.8 meters and taking about 16.4 seconds.
Turn right, continue for 182.4 meters and taking about 131.3 seconds.
Turn left, continue for 103.5 meters and taking about 74.5 seconds.
Turn right, continue for 16.7 meters and taking about 12.0 seconds.
Turn left, continue for 16.6 meters and taking about 11.9 seconds.
Turn right, continue for 121.8 meters and taking about 87.7 seconds.
Turn left, continue for 92.5 meters and taking about 66.6 seconds.
Turn right, continue for 8.4 meters and taking about 6.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
