Name: Monastery Lane, Instruction: Head east on Monastery Lane, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Keep left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Keep right, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn left, Distance: 739.1 meters, Time: 532.2 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 285.4 meters, Time: 205.5 seconds
Name: -, Instruction: Turn left, Distance: 192.3 meters, Time: 138.5 seconds
Name: -, Instruction: Turn right, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn slight left, Distance: 129.8 meters, Time: 93.5 seconds
Name: -, Instruction: Turn left, Distance: 80.9 meters, Time: 58.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
