Name: Triller Avenue, Instruction: Head southeast on Triller Avenue, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 99.2 meters, Time: 71.5 seconds
Name: -, Instruction: Keep left, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Keep left, Distance: 558.8 meters, Time: 402.4 seconds
Name: -, Instruction: Keep left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight left, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Keep left, Distance: 7.0 meters, Time: 5.0 seconds
Name: Cowan Avenue, Instruction: Turn right onto Cowan Avenue, Distance: 41.7 meters, Time: 30.0 seconds
Name: Milky Way, Instruction: Turn left onto Milky Way, Distance: 250.9 meters, Time: 180.7 seconds
Name: -, Instruction: Turn right, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Keep left, Distance: 46.8 meters, Time: 33.7 seconds
Name: Melbourne Place, Instruction: Turn left onto Melbourne Place, Distance: 47.7 meters, Time: 34.4 seconds
Name: -, Instruction: Arrive at Melbourne Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
