Name: Paton Road, Instruction: Head east on Paton Road, Distance: 39.0 meters, Time: 28.1 seconds
Name: St. Clarens Avenue, Instruction: Turn left onto St. Clarens Avenue, Distance: 199.0 meters, Time: 143.3 seconds
Name: Wallace Avenue, Instruction: Turn right onto Wallace Avenue, Distance: 78.9 meters, Time: 56.8 seconds
Name: Emerson Avenue, Instruction: Turn sharp left onto Emerson Avenue, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 209.3 meters, Time: 150.7 seconds
Name: -, Instruction: Turn right, Distance: 387.2 meters, Time: 278.8 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Keep left, Distance: 108.0 meters, Time: 77.7 seconds
Name: -, Instruction: Keep left, Distance: 104.3 meters, Time: 75.1 seconds
Name: -, Instruction: Keep left, Distance: 104.2 meters, Time: 75.1 seconds
Name: -, Instruction: Keep left, Distance: 97.5 meters, Time: 70.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 186.3 meters, Time: 134.2 seconds
Name: -, Instruction: Keep left, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
