Head east on Paton Road on Paton Road, continue for 39.0 meters and taking about 28.1 seconds.
Turn left onto St. Clarens Avenue on St. Clarens Avenue, continue for 199.0 meters and taking about 143.3 seconds.
Turn right onto Wallace Avenue on Wallace Avenue, continue for 78.9 meters and taking about 56.8 seconds.
Turn sharp left onto Emerson Avenue on Emerson Avenue, continue for 41.1 meters and taking about 29.6 seconds.
Turn right, continue for 209.3 meters and taking about 150.7 seconds.
Turn right, continue for 387.2 meters and taking about 278.8 seconds.
Turn left, continue for 15.2 meters and taking about 11.0 seconds.
Turn right, continue for 16.1 meters and taking about 11.6 seconds.
Turn slight left, continue for 4.7 meters and taking about 3.4 seconds.
Turn slight right, continue for 87.6 meters and taking about 63.1 seconds.
Keep left, continue for 108.0 meters and taking about 77.7 seconds.
Keep left, continue for 104.3 meters and taking about 75.1 seconds.
Keep left, continue for 104.2 meters and taking about 75.1 seconds.
Keep left, continue for 97.5 meters and taking about 70.2 seconds.
Turn slight right, continue for 1.9 meters and taking about 1.4 seconds.
Turn slight left, continue for 17.3 meters and taking about 12.5 seconds.
Turn left, continue for 186.3 meters and taking about 134.2 seconds.
Keep left, continue for 56.2 meters and taking about 40.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
