Name: The Brickworks Trail, Instruction: Head north on The Brickworks Trail, Distance: 212.2 meters, Time: 152.8 seconds
Name: Don Valley Brick Works Park Ponds Loop, Instruction: Keep left onto Don Valley Brick Works Park Ponds Loop, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.3 seconds
Name: Ravine Beltline Trail, Instruction: Turn right onto Ravine Beltline Trail, Distance: 213.7 meters, Time: 153.9 seconds
Name: Chorley Park Switchbacks, Instruction: Turn left onto Chorley Park Switchbacks, Distance: 1.7 meters, Time: 1.2 seconds
Name: Chorley-Beltlne Scenic Natural Trail, Instruction: Turn left onto Chorley-Beltlne Scenic Natural Trail, Distance: 183.7 meters, Time: 132.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 118.8 meters, Time: 85.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 105.5 meters, Time: 75.9 seconds
Name: Douglas Drive, Instruction: Turn sharp right onto Douglas Drive, Distance: 142.1 meters, Time: 102.3 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Douglas Drive, Instruction: Turn right onto Douglas Drive, Distance: 155.0 meters, Time: 111.6 seconds
Name: Astley Avenue, Instruction: Turn left onto Astley Avenue, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 590.0 meters, Time: 424.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
