Name: St. Clair Avenue West, Instruction: Head east on St. Clair Avenue West, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 710.9 meters, Time: 511.9 seconds
Name: Westmount Avenue, Instruction: Turn right onto Westmount Avenue, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 270.8 meters, Time: 195.0 seconds
Name: Glenholme Avenue, Instruction: Turn right onto Glenholme Avenue, Distance: 128.0 meters, Time: 92.2 seconds
Name: Rosemount Avenue, Instruction: Turn left onto Rosemount Avenue, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 231.4 meters, Time: 166.6 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Keep left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
