Head east on Tank House Lane on Tank House Lane, continue for 63.4 meters and taking about 45.7 seconds.
Turn left, continue for 200.7 meters and taking about 144.5 seconds.
Turn left, continue for 5.6 meters and taking about 4.0 seconds.
Turn right, continue for 132.2 meters and taking about 95.1 seconds.
Turn left, continue for 1.8 meters and taking about 1.3 seconds.
Turn right, continue for 25.5 meters and taking about 18.3 seconds.
Turn right, continue for 30.0 meters and taking about 21.6 seconds.
Turn left, continue for 171.2 meters and taking about 123.2 seconds.
Turn left, continue for 15.3 meters and taking about 11.0 seconds.
Turn right, continue for 211.1 meters and taking about 152.0 seconds.
Turn left, continue for 2.6 meters and taking about 1.9 seconds.
Turn right, continue for 21.7 meters and taking about 15.6 seconds.
Turn sharp left, continue for 36.7 meters and taking about 26.4 seconds.
Turn slight right, continue for 3.1 meters and taking about 2.2 seconds.
Keep left, continue for 18.2 meters and taking about 13.1 seconds.
Turn left, continue for 2.2 meters and taking about 1.6 seconds.
Turn right, continue for 444.8 meters and taking about 320.3 seconds.
Turn right, continue for 142.3 meters and taking about 102.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
