Name: Lippincott Street, Instruction: Head north on Lippincott Street, Distance: 157.8 meters, Time: 113.6 seconds
Name: Harbord Street, Instruction: Turn right onto Harbord Street, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 237.7 meters, Time: 171.2 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 252.1 meters, Time: 181.5 seconds
Name: -, Instruction: Turn left, Distance: 92.1 meters, Time: 66.3 seconds
Name: Markham Street, Instruction: Turn right onto Markham Street, Distance: 74.0 meters, Time: 53.2 seconds
Name: London Street, Instruction: Turn left onto London Street, Distance: 51.9 meters, Time: 37.3 seconds
Name: Sunnyview Lane, Instruction: Turn right onto Sunnyview Lane, Distance: 64.9 meters, Time: 46.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Palmerston Square, Instruction: Turn left onto Palmerston Square, Distance: 3.8 meters, Time: 2.8 seconds
Name: Palmerston Avenue, Instruction: Turn right onto Palmerston Avenue, Distance: 203.3 meters, Time: 146.3 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
