Name: Crewe Avenue, Instruction: Head west on Crewe Avenue, Distance: 184.3 meters, Time: 132.7 seconds
Name: Oak Park Avenue, Instruction: Turn left onto Oak Park Avenue, Distance: 234.6 meters, Time: 168.9 seconds
Name: -, Instruction: Turn right, Distance: 95.2 meters, Time: 68.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Gledhill Avenue, Instruction: Turn left onto Gledhill Avenue, Distance: 306.2 meters, Time: 220.4 seconds
Name: King Edward Avenue, Instruction: Turn right onto King Edward Avenue, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 46.7 meters, Time: 33.6 seconds
Name: Coleridge Avenue, Instruction: Turn left onto Coleridge Avenue, Distance: 5.2 meters, Time: 3.7 seconds
Name: Strathmore Boulevard, Instruction: Turn right onto Strathmore Boulevard, Distance: 108.1 meters, Time: 77.8 seconds
Name: -, Instruction: Turn left, Distance: 103.9 meters, Time: 74.8 seconds
Name: -, Instruction: Turn right, Distance: 285.2 meters, Time: 205.3 seconds
Name: -, Instruction: Turn left, Distance: 209.7 meters, Time: 150.9 seconds
Name: -, Instruction: Turn right, Distance: 137.1 meters, Time: 98.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
