Name: Foxley Street, Instruction: Head west on Foxley Street, Distance: 301.7 meters, Time: 217.2 seconds
Name: Dovercourt Road, Instruction: Turn left onto Dovercourt Road, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn right, Distance: 104.0 meters, Time: 74.9 seconds
Name: Lisgar Street, Instruction: Turn left onto Lisgar Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 281.1 meters, Time: 202.4 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 120.0 meters, Time: 86.4 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 310.6 meters, Time: 223.6 seconds
Name: -, Instruction: Turn left, Distance: 174.6 meters, Time: 125.7 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Brock Avenue, Instruction: Turn left onto Brock Avenue, Distance: 29.3 meters, Time: 21.1 seconds
Name: Seaforth Avenue, Instruction: Turn right onto Seaforth Avenue, Distance: 272.4 meters, Time: 196.1 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
