Name: Ozark Crescent, Instruction: Head east on Ozark Crescent, Distance: 6.2 meters, Time: 4.5 seconds
Name: Cambridge Avenue, Instruction: Turn left onto Cambridge Avenue, Distance: 273.7 meters, Time: 197.1 seconds
Name: -, Instruction: Turn right, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 242.0 meters, Time: 174.2 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Browning Avenue, Instruction: Turn left onto Browning Avenue, Distance: 242.2 meters, Time: 174.4 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 431.9 meters, Time: 311.0 seconds
Name: -, Instruction: Turn right, Distance: 74.5 meters, Time: 53.7 seconds
Name: -, Instruction: Keep left, Distance: 11.8 meters, Time: 8.5 seconds
Name: Canning Avenue, Instruction: Turn left onto Canning Avenue, Distance: 8.2 meters, Time: 5.9 seconds
Name: Pape Avenue, Instruction: Turn right onto Pape Avenue, Distance: 21.3 meters, Time: 15.3 seconds
Name: Selkirk Street, Instruction: Turn left onto Selkirk Street, Distance: 308.5 meters, Time: 222.1 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
