Name: Portland Street, Instruction: Head north on Portland Street, Distance: 336.0 meters, Time: 241.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 284.0 meters, Time: 204.5 seconds
Name: -, Instruction: Turn right, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 148.2 meters, Time: 106.7 seconds
Name: Carr Street Court, Instruction: Turn right onto Carr Street Court, Distance: 4.2 meters, Time: 3.0 seconds
Name: Denison Avenue, Instruction: Turn left onto Denison Avenue, Distance: 332.4 meters, Time: 239.4 seconds
Name: -, Instruction: Turn right, Distance: 197.4 meters, Time: 142.1 seconds
Name: -, Instruction: Turn left, Distance: 173.7 meters, Time: 125.1 seconds
Name: Kensington Place, Instruction: Turn right onto Kensington Place, Distance: 3.8 meters, Time: 2.7 seconds
Name: Kensington Avenue, Instruction: Turn left onto Kensington Avenue, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
