Name: Curzon Street, Instruction: Head north on Curzon Street, Distance: 397.3 meters, Time: 286.1 seconds
Name: -, Instruction: Turn left, Distance: 60.0 meters, Time: 43.2 seconds
Name: Peyton Lane, Instruction: Turn right onto Peyton Lane, Distance: 4.1 meters, Time: 3.0 seconds
Name: Sproat Avenue, Instruction: Turn left onto Sproat Avenue, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 81.3 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn slight right, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn left, Distance: 167.8 meters, Time: 120.8 seconds
Name: -, Instruction: Keep right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 146.4 meters, Time: 105.4 seconds
Name: -, Instruction: Turn right, Distance: 61.9 meters, Time: 44.6 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 178.5 meters, Time: 128.5 seconds
Name: -, Instruction: Turn right, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
