Head north on Curzon Street on Curzon Street, continue for 397.3 meters and taking about 286.1 seconds.
Turn left, continue for 60.0 meters and taking about 43.2 seconds.
Turn right onto Peyton Lane on Peyton Lane, continue for 4.1 meters and taking about 3.0 seconds.
Turn left onto Sproat Avenue on Sproat Avenue, continue for 19.1 meters and taking about 13.8 seconds.
Turn right, continue for 81.3 meters and taking about 58.6 seconds.
Turn left, continue for 31.2 meters and taking about 22.5 seconds.
Turn slight right, continue for 65.1 meters and taking about 46.9 seconds.
Turn left, continue for 167.8 meters and taking about 120.8 seconds.
Keep right, continue for 12.5 meters and taking about 9.0 seconds.
Turn right, continue for 17.1 meters and taking about 12.3 seconds.
Turn left, continue for 146.4 meters and taking about 105.4 seconds.
Turn right, continue for 61.9 meters and taking about 44.6 seconds.
Turn left, continue for 60.6 meters and taking about 43.6 seconds.
Turn right, continue for 19.3 meters and taking about 13.9 seconds.
Turn right, continue for 178.5 meters and taking about 128.5 seconds.
Turn right, continue for 39.4 meters and taking about 28.3 seconds.
Turn right, continue for 38.3 meters and taking about 27.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
