Name: Welland Avenue, Instruction: Head south on Welland Avenue, Distance: 5.9 meters, Time: 4.2 seconds
Name: Heath Street East, Instruction: Turn right onto Heath Street East, Distance: 319.2 meters, Time: 229.9 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 332.3 meters, Time: 239.3 seconds
Name: -, Instruction: Turn left, Distance: 403.5 meters, Time: 290.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: St. Clair Avenue East, Instruction: Turn right onto St. Clair Avenue East, Distance: 128.7 meters, Time: 92.7 seconds
Name: Ferndale Avenue, Instruction: Turn right onto Ferndale Avenue, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 210.4 meters, Time: 151.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 236.9 meters, Time: 170.5 seconds
Name: -, Instruction: Keep left, Distance: 115.9 meters, Time: 83.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
