Name: Ferrand Drive, Instruction: Head north on Ferrand Drive, Distance: 4.2 meters, Time: 3.0 seconds
Name: Wilket Creek Road, Instruction: Turn right onto Wilket Creek Road, Distance: 131.1 meters, Time: 94.4 seconds
Name: -, Instruction: Turn right, Distance: 135.0 meters, Time: 97.2 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Keep left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 443.4 meters, Time: 319.3 seconds
Name: -, Instruction: Turn right, Distance: 402.5 meters, Time: 289.8 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
