Name: Swanwick Avenue, Instruction: Head west on Swanwick Avenue, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: Kingswood Road, Instruction: Turn right onto Kingswood Road, Distance: 187.6 meters, Time: 135.1 seconds
Name: -, Instruction: Turn left, Distance: 299.7 meters, Time: 215.8 seconds
Name: -, Instruction: Keep right, Distance: 329.6 meters, Time: 237.3 seconds
Name: -, Instruction: Turn slight right, Distance: 112.7 meters, Time: 81.1 seconds
Name: Osborne Avenue, Instruction: Turn right onto Osborne Avenue, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 200.3 meters, Time: 144.2 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn slight left, Distance: 220.3 meters, Time: 158.6 seconds
Name: -, Instruction: Turn slight left, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Keep left, Distance: 227.5 meters, Time: 163.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
