Head northeast, continue for 19.9 meters and taking about 14.3 seconds.
Turn left, continue for 1.3 meters and taking about 1.0 seconds.
Turn right, continue for 707.4 meters and taking about 509.3 seconds.
Turn right, continue for 105.9 meters and taking about 76.2 seconds.
Turn left, continue for 39.0 meters and taking about 28.1 seconds.
Turn left, continue for 33.7 meters and taking about 24.3 seconds.
Turn right onto Larch Street on Larch Street, continue for 4.8 meters and taking about 3.5 seconds.
Turn left onto Grange Avenue on Grange Avenue, continue for 68.0 meters and taking about 49.0 seconds.
Turn right, continue for 4.5 meters and taking about 3.2 seconds.
Turn left, continue for 189.6 meters and taking about 136.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
