Head southeast, continue for 8.8 meters and taking about 6.4 seconds.
Turn right, continue for 266.9 meters and taking about 192.2 seconds.
Turn right, continue for 38.5 meters and taking about 27.7 seconds.
Turn left onto Lake Shore Boulevard Recreational Trail on Lake Shore Boulevard Recreational Trail, continue for 30.5 meters and taking about 22.0 seconds.
Turn sharp right, continue for 74.6 meters and taking about 53.7 seconds.
Turn left, continue for 99.2 meters and taking about 71.4 seconds.
Turn right, continue for 150.9 meters and taking about 108.7 seconds.
Turn left, continue for 14.1 meters and taking about 10.2 seconds.
Turn slight right, continue for 46.0 meters and taking about 33.1 seconds.
Turn right, continue for 83.2 meters and taking about 59.9 seconds.
Turn left, continue for 57.1 meters and taking about 41.1 seconds.
Turn right, continue for 39.9 meters and taking about 28.7 seconds.
Keep right, continue for 17.5 meters and taking about 12.6 seconds.
Turn left, continue for 152.7 meters and taking about 109.9 seconds.
Keep left, continue for 13.1 meters and taking about 9.4 seconds.
Turn slight left, continue for 71.7 meters and taking about 51.6 seconds.
Keep left, continue for 404.3 meters and taking about 291.1 seconds.
Turn right, continue for 34.7 meters and taking about 25.0 seconds.
Turn sharp left, continue for 65.9 meters and taking about 47.4 seconds.
Turn right, continue for 29.0 meters and taking about 20.9 seconds.
Turn left, continue for 7.9 meters and taking about 5.7 seconds.
Turn right, continue for 7.7 meters and taking about 5.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
