Name: Earlscourt Avenue, Instruction: Head south on Earlscourt Avenue, Distance: 552.8 meters, Time: 398.0 seconds
Name: -, Instruction: Turn left, Distance: 101.8 meters, Time: 73.3 seconds
Name: Boon Avenue, Instruction: Turn right onto Boon Avenue, Distance: 189.1 meters, Time: 136.2 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: Via Italia, Instruction: Turn right onto Via Italia, Distance: 497.6 meters, Time: 358.3 seconds
Name: Nunes Lane, Instruction: Turn left onto Nunes Lane, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: McFarland Avenue, Instruction: Turn right onto McFarland Avenue, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn slight left, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: Davenport Road, Instruction: Turn left onto Davenport Road, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at Davenport Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
