Name: Galvao Lane, Instruction: Head east on Galvao Lane, Distance: 4.3 meters, Time: 3.1 seconds
Name: Brunswick Avenue, Instruction: Turn right onto Brunswick Avenue, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Ulster Street, Instruction: Turn left onto Ulster Street, Distance: 85.3 meters, Time: 61.4 seconds
Name: Major Street, Instruction: Turn right onto Major Street, Distance: 296.2 meters, Time: 213.3 seconds
Name: -, Instruction: Turn left, Distance: 40.5 meters, Time: 29.2 seconds
Name: Grimsby Dairy Lane, Instruction: Turn right onto Grimsby Dairy Lane, Distance: 97.8 meters, Time: 70.4 seconds
Name: Robert Street, Instruction: Turn right onto Robert Street, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 127.9 meters, Time: 92.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 336.4 meters, Time: 242.2 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Keep right, Distance: 180.4 meters, Time: 129.9 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 171.2 meters, Time: 123.2 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Baldwin Street, Instruction: Turn left onto Baldwin Street, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 135.0 meters, Time: 97.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 60.2 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Simcoe Street, Instruction: Turn left onto Simcoe Street, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Arrive at Simcoe Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
