Head east on Galvao Lane on Galvao Lane, continue for 4.3 meters and taking about 3.1 seconds.
Turn right onto Brunswick Avenue on Brunswick Avenue, continue for 29.7 meters and taking about 21.4 seconds.
Turn left, continue for 10.3 meters and taking about 7.4 seconds.
Turn right, continue for 5.3 meters and taking about 3.8 seconds.
Turn left onto Ulster Street on Ulster Street, continue for 85.3 meters and taking about 61.4 seconds.
Turn right onto Major Street on Major Street, continue for 296.2 meters and taking about 213.3 seconds.
Turn left, continue for 40.5 meters and taking about 29.2 seconds.
Turn right onto Grimsby Dairy Lane on Grimsby Dairy Lane, continue for 97.8 meters and taking about 70.4 seconds.
Turn right onto Robert Street on Robert Street, continue for 23.5 meters and taking about 16.9 seconds.
Turn left, continue for 127.9 meters and taking about 92.1 seconds.
Turn slight left, continue for 2.5 meters and taking about 1.8 seconds.
Turn right, continue for 336.4 meters and taking about 242.2 seconds.
Turn right, continue for 20.9 meters and taking about 15.0 seconds.
Turn left, continue for 17.5 meters and taking about 12.6 seconds.
Keep right, continue for 180.4 meters and taking about 129.9 seconds.
Turn left, continue for 14.6 meters and taking about 10.5 seconds.
Turn right, continue for 2.9 meters and taking about 2.1 seconds.
Turn left, continue for 42.8 meters and taking about 30.8 seconds.
Turn right, continue for 8.7 meters and taking about 6.3 seconds.
Turn left, continue for 171.2 meters and taking about 123.2 seconds.
Turn left, continue for 8.3 meters and taking about 6.0 seconds.
Turn slight right, continue for 1.5 meters and taking about 1.1 seconds.
Keep right, continue for 5.0 meters and taking about 3.6 seconds.
Turn left onto Baldwin Street on Baldwin Street, continue for 88.5 meters and taking about 63.7 seconds.
Turn right, continue for 48.5 meters and taking about 34.9 seconds.
Turn left, continue for 135.0 meters and taking about 97.2 seconds.
Turn sharp right, continue for 13.8 meters and taking about 9.9 seconds.
Turn left, continue for 60.2 meters and taking about 43.3 seconds.
Turn left, continue for 6.1 meters and taking about 4.4 seconds.
Turn left onto Simcoe Street on Simcoe Street, continue for 22.9 meters and taking about 16.5 seconds.
Arrive at Simcoe Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
