Head south on Metcalfe Street on Metcalfe Street, continue for 75.3 meters and taking about 54.2 seconds.
Turn right, continue for 5.8 meters and taking about 4.2 seconds.
Turn slight left, continue for 61.2 meters and taking about 44.0 seconds.
Turn left onto Broadcast Lane on Broadcast Lane, continue for 9.5 meters and taking about 6.9 seconds.
Turn right, continue for 37.1 meters and taking about 26.7 seconds.
Turn left, continue for 275.9 meters and taking about 198.6 seconds.
Keep right, continue for 876.7 meters and taking about 631.2 seconds.
Turn slight right, continue for 1.9 meters and taking about 1.3 seconds.
Turn slight left, continue for 92.6 meters and taking about 66.7 seconds.
Turn left, continue for 1.9 meters and taking about 1.4 seconds.
Turn right, continue for 18.6 meters and taking about 13.4 seconds.
Keep right, continue for 24.2 meters and taking about 17.4 seconds.
Turn slight left, continue for 89.4 meters and taking about 64.4 seconds.
Turn right, continue for 93.7 meters and taking about 67.4 seconds.
Turn left, continue for 25.8 meters and taking about 18.6 seconds.
Turn right, continue for 8.0 meters and taking about 5.8 seconds.
Turn left onto Berkeley Street on Berkeley Street, continue for 115.9 meters and taking about 83.4 seconds.
Turn right onto Nicholson Lane on Nicholson Lane, continue for 7.1 meters and taking about 5.1 seconds.
Arrive at Nicholson Lane, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
