Name: Renfrew Place, Instruction: Head east on Renfrew Place, Distance: 147.4 meters, Time: 106.1 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 26.0 seconds
Name: -, Instruction: Keep right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn right, Distance: 88.4 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 249.7 meters, Time: 179.8 seconds
Name: -, Instruction: Keep right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn left, Distance: 991.2 meters, Time: 713.7 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
