Head east on Renfrew Place on Renfrew Place, continue for 147.4 meters and taking about 106.1 seconds.
Turn right, continue for 36.0 meters and taking about 26.0 seconds.
Keep right, continue for 17.3 meters and taking about 12.5 seconds.
Turn left, continue for 81.4 meters and taking about 58.6 seconds.
Turn right, continue for 88.4 meters and taking about 63.7 seconds.
Turn left, continue for 52.1 meters and taking about 37.5 seconds.
Turn right, continue for 249.7 meters and taking about 179.8 seconds.
Keep right, continue for 29.6 meters and taking about 21.3 seconds.
Turn left, continue for 23.8 meters and taking about 17.1 seconds.
Turn slight right, continue for 3.2 meters and taking about 2.3 seconds.
Turn right, continue for 151.0 meters and taking about 108.7 seconds.
Turn left, continue for 991.2 meters and taking about 713.7 seconds.
Turn right, continue for 6.9 meters and taking about 5.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
