Name: Southwood Drive, Instruction: Head south on Southwood Drive, Distance: 352.0 meters, Time: 253.4 seconds
Name: Williamson Road, Instruction: Turn left onto Williamson Road, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn slight left, Distance: 348.5 meters, Time: 250.9 seconds
Name: -, Instruction: Turn left, Distance: 143.3 meters, Time: 103.1 seconds
Name: -, Instruction: Keep left, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Keep left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Balsam Avenue, Instruction: Turn right onto Balsam Avenue, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: Hazel Avenue, Instruction: Turn left onto Hazel Avenue, Distance: 4.7 meters, Time: 3.4 seconds
Name: Fernwood Park Avenue, Instruction: Turn right onto Fernwood Park Avenue, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
