Name: Clinton Street, Instruction: Head south on Clinton Street, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Mansfield Avenue, Instruction: Turn left onto Mansfield Avenue, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn right, Distance: 54.4 meters, Time: 39.1 seconds
Name: Marchese Lane, Instruction: Turn left onto Marchese Lane, Distance: 4.4 meters, Time: 3.2 seconds
Name: Manning Avenue, Instruction: Turn right onto Manning Avenue, Distance: 186.1 meters, Time: 134.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn left, Distance: 307.3 meters, Time: 221.3 seconds
Name: -, Instruction: Turn right, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 116.2 meters, Time: 83.6 seconds
Name: -, Instruction: Turn slight right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn slight right, Distance: 155.8 meters, Time: 112.1 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn slight right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Keep right, Distance: 303.7 meters, Time: 218.6 seconds
Name: -, Instruction: Turn left, Distance: 60.2 meters, Time: 43.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
