Head south on Clinton Street on Clinton Street, continue for 95.8 meters and taking about 69.0 seconds.
Turn left, continue for 5.6 meters and taking about 4.0 seconds.
Turn right, continue for 86.4 meters and taking about 62.2 seconds.
Turn right, continue for 3.3 meters and taking about 2.4 seconds.
Turn left onto Mansfield Avenue on Mansfield Avenue, continue for 43.1 meters and taking about 31.0 seconds.
Turn right, continue for 54.4 meters and taking about 39.1 seconds.
Turn left onto Marchese Lane on Marchese Lane, continue for 4.4 meters and taking about 3.2 seconds.
Turn right onto Manning Avenue on Manning Avenue, continue for 186.1 meters and taking about 134.0 seconds.
Turn left, continue for 4.2 meters and taking about 3.0 seconds.
Turn right, continue for 40.7 meters and taking about 29.3 seconds.
Turn left, continue for 307.3 meters and taking about 221.3 seconds.
Turn right, continue for 87.3 meters and taking about 62.9 seconds.
Turn left, continue for 3.0 meters and taking about 2.1 seconds.
Turn right, continue for 116.2 meters and taking about 83.6 seconds.
Turn slight right, continue for 20.3 meters and taking about 14.6 seconds.
Turn slight right, continue for 155.8 meters and taking about 112.1 seconds.
Turn right, continue for 10.0 meters and taking about 7.2 seconds.
Turn slight right, continue for 35.6 meters and taking about 25.6 seconds.
Keep right, continue for 303.7 meters and taking about 218.6 seconds.
Turn left, continue for 60.2 meters and taking about 43.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
