Name: Carey Road, Instruction: Head southwest on Carey Road, Distance: 7.4 meters, Time: 5.4 seconds
Name: Tullis Drive, Instruction: Turn right onto Tullis Drive, Distance: 112.9 meters, Time: 81.3 seconds
Name: Manor Road East, Instruction: Turn right onto Manor Road East, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 59.0 meters, Time: 42.5 seconds
Name: Hillsdale Avenue East, Instruction: Turn right onto Hillsdale Avenue East, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Turn right, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: Soudan Avenue, Instruction: Turn right onto Soudan Avenue, Distance: 8.4 meters, Time: 6.1 seconds
Name: Holly Street, Instruction: Turn left onto Holly Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 140.4 meters, Time: 101.1 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
