Head southwest on Carey Road on Carey Road, continue for 7.4 meters and taking about 5.4 seconds.
Turn right onto Tullis Drive on Tullis Drive, continue for 112.9 meters and taking about 81.3 seconds.
Turn right onto Manor Road East on Manor Road East, continue for 3.0 meters and taking about 2.2 seconds.
Turn left, continue for 55.6 meters and taking about 40.0 seconds.
Turn left, continue for 59.0 meters and taking about 42.5 seconds.
Turn right onto Hillsdale Avenue East on Hillsdale Avenue East, continue for 42.2 meters and taking about 30.4 seconds.
Turn left, continue for 5.6 meters and taking about 4.0 seconds.
Turn right, continue for 7.1 meters and taking about 5.1 seconds.
Turn left, continue for 94.6 meters and taking about 68.1 seconds.
Turn right, continue for 78.6 meters and taking about 56.6 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Turn right onto Soudan Avenue on Soudan Avenue, continue for 8.4 meters and taking about 6.1 seconds.
Turn left onto Holly Street on Holly Street, continue for 6.1 meters and taking about 4.4 seconds.
Turn right, continue for 140.4 meters and taking about 101.1 seconds.
Turn left, continue for 10.2 meters and taking about 7.4 seconds.
Turn right, continue for 30.8 meters and taking about 22.2 seconds.
Turn left, continue for 12.2 meters and taking about 8.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
