Name: Mark Street, Instruction: Head west on Mark Street, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 238.2 meters, Time: 171.5 seconds
Name: -, Instruction: Keep left, Distance: 73.3 meters, Time: 52.8 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 173.4 meters, Time: 124.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Munro Street, Instruction: Turn left onto Munro Street, Distance: 159.6 meters, Time: 114.9 seconds
Name: -, Instruction: Turn right, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.8 seconds
Name: Jack Layton Way, Instruction: Turn right onto Jack Layton Way, Distance: 627.0 meters, Time: 451.4 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: Victor Avenue, Instruction: Turn right onto Victor Avenue, Distance: 151.5 meters, Time: 109.1 seconds
Name: -, Instruction: Arrive at Victor Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
