Head west on Mark Street on Mark Street, continue for 38.1 meters and taking about 27.4 seconds.
Turn right, continue for 11.2 meters and taking about 8.1 seconds.
Turn right, continue for 22.4 meters and taking about 16.1 seconds.
Turn left, continue for 44.9 meters and taking about 32.3 seconds.
Turn right, continue for 33.5 meters and taking about 24.1 seconds.
Turn right, continue for 238.2 meters and taking about 171.5 seconds.
Keep left, continue for 73.3 meters and taking about 52.8 seconds.
Turn left, continue for 15.9 meters and taking about 11.4 seconds.
Turn right, continue for 2.2 meters and taking about 1.6 seconds.
Keep left, continue for 173.4 meters and taking about 124.8 seconds.
Turn right, continue for 4.8 meters and taking about 3.5 seconds.
Turn left onto Munro Street on Munro Street, continue for 159.6 meters and taking about 114.9 seconds.
Turn right, continue for 133.2 meters and taking about 95.9 seconds.
Turn left, continue for 85.9 meters and taking about 61.8 seconds.
Turn right onto Jack Layton Way on Jack Layton Way, continue for 627.0 meters and taking about 451.4 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Turn right, continue for 75.0 meters and taking about 54.0 seconds.
Turn right, continue for 46.4 meters and taking about 33.4 seconds.
Turn left, continue for 4.8 meters and taking about 3.5 seconds.
Turn right onto Victor Avenue on Victor Avenue, continue for 151.5 meters and taking about 109.1 seconds.
Arrive at Victor Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
