Name: The Boardwalk, Instruction: Head northeast on The Boardwalk, Distance: 175.9 meters, Time: 126.6 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Martin Goodman Trail, Instruction: Turn right onto Martin Goodman Trail, Distance: 668.5 meters, Time: 481.3 seconds
Name: -, Instruction: Turn left, Distance: 52.5 meters, Time: 37.8 seconds
Name: Fir Avenue, Instruction: Turn right onto Fir Avenue, Distance: 25.6 meters, Time: 18.4 seconds
Name: Park Avenue, Instruction: Keep right onto Park Avenue, Distance: 99.1 meters, Time: 71.3 seconds
Name: Willow Avenue, Instruction: Turn left onto Willow Avenue, Distance: 207.6 meters, Time: 149.5 seconds
Name: -, Instruction: Turn right, Distance: 103.9 meters, Time: 74.8 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 165.1 meters, Time: 118.9 seconds
Name: -, Instruction: Keep right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Kingswood Road, Instruction: Turn left onto Kingswood Road, Distance: 94.0 meters, Time: 67.7 seconds
Name: Ed Evans Lane, Instruction: Turn right onto Ed Evans Lane, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
