Name: Lobb Avenue, Instruction: Head east on Lobb Avenue, Distance: 95.5 meters, Time: 68.7 seconds
Name: Crawford Street, Instruction: Turn right onto Crawford Street, Distance: 129.9 meters, Time: 93.5 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 81.8 meters, Time: 58.9 seconds
Name: Trinity Circle, Instruction: Turn right onto Trinity Circle, Distance: 14.5 meters, Time: 10.4 seconds
Name: Trinity Circle, Instruction: Keep left onto Trinity Circle, Distance: 49.1 meters, Time: 35.3 seconds
Name: -, Instruction: Keep right, Distance: 111.6 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn slight left, Distance: 323.5 meters, Time: 232.9 seconds
Name: Euclid Avenue, Instruction: Turn left onto Euclid Avenue, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: Palmerston Avenue, Instruction: Turn left onto Palmerston Avenue, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
