Name: Beaty Avenue, Instruction: Head south on Beaty Avenue, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Keep right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 214.9 meters, Time: 154.7 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 94.0 meters, Time: 67.7 seconds
Name: -, Instruction: Keep left, Distance: 120.8 meters, Time: 87.0 seconds
Name: -, Instruction: Keep left, Distance: 367.4 meters, Time: 264.5 seconds
Name: -, Instruction: Turn right, Distance: 230.1 meters, Time: 165.6 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
